naamvariant,preflabel,kern,wikidata,bron
Cicerostraaat,Cicerostraat,'s-Hertogenbosch,http://www.wikidata.org/entity/Q18980303,beeldbank
Eerste Reitsedreef,Eerste Reitse Dreef ,'s-Hertogenbosch,http://www.wikidata.org/entity/Q19061477,beeldbank
In de Boerenmouw,In den Boerenmouw,'s-Hertogenbosch,http://www.wikidata.org/entity/Q19270395,beeldbank
St. Antoniestraatje,St Antoniestraatje,'s-Hertogenbosch,http://www.wikidata.org/entity/Q19545022,beeldbank
Tweede Reitsedreef,Tweede Reitse Dreef,'s-Hertogenbosch,http://www.wikidata.org/entity/Q19575052,beeldbank
Van Ruusbroeckstraat,Van Ruusbroecstraat,'s-Hertogenbosch,http://www.wikidata.org/entity/Q19624154,beeldbank
Vasco  Da Gamastraat,Vasco da Gamastraat,'s-Hertogenbosch,http://www.wikidata.org/entity/Q19627090,beeldbank
Dorpstraat,Dorpsstraat,Rosmalen,http://www.wikidata.org/entity/Q19014980,beeldbank
Willem  Elsschotstraat,Willem Elsschotstraat,Rosmalen,http://www.wikidata.org/entity/Q19656961,beeldbank
Achter de Vergulden Truffel,Achter de Vergulde Truffel,'s-Hertogenbosch,http://www.wikidata.org/entity/Q114795178,kaart Drossaers
Steen Straatje,Steenstraatje,'s-Hertogenbosch,http://www.wikidata.org/entity/Q114795226,kaart Drossaers
Bokhoven Straatje,Bokhovenstraatje,'s-Hertogenbosch,http://www.wikidata.org/entity/Q18961110,kaart Drossaers
Peter de Geks Straatje,Peter de Gekstraatje,'s-Hertogenbosch,http://www.wikidata.org/entity/Q19411644,kaart Drossaers
Achter den Roskam,Achter de Roskam,'s-Hertogenbosch,http://www.wikidata.org/entity/Q114795174,kaart Drossaers
De Koksche Poort,Koksche Poort,'s-Hertogenbosch,http://www.wikidata.org/entity/Q19306046,kaart Drossaers
De Lepel Straat,Lepelstraat,'s-Hertogenbosch,http://www.wikidata.org/entity/Q19325719,kaart Drossaers
De Kruis Straat,Kruisstraat,'s-Hertogenbosch,http://www.wikidata.org/entity/Q2323819,kaart Drossaers
De Karren Straat,Karrenstraat,'s-Hertogenbosch,http://www.wikidata.org/entity/Q19291854,kaart Drossaers
Eerste Koren Straatje,Eerste Korenstraatje,'s-Hertogenbosch,http://www.wikidata.org/entity/Q19061434,kaart Drossaers
Tweede Koren Straatje,Tweede Korenstraatje,'s-Hertogenbosch,http://www.wikidata.org/entity/Q19575009,kaart Drossaers
De Molen Straat,Molenstraat,'s-Hertogenbosch,http://www.wikidata.org/entity/Q19348766,kaart Drossaers
De Gasthuis Poort,Gasthuispoort,'s-Hertogenbosch,http://www.wikidata.org/entity/Q19119500,kaart Drossaers
De Wal Poort,Walpoort,'s-Hertogenbosch,http://www.wikidata.org/entity/Q19645012,kaart Drossaers
